ID,name,Avg,imageURLs,,Description,,Price,Tags,
1,Sanus TV Motion Mount ,4.44,"https://images-na.ssl-images-amazon.com/images/I/71oVh2UO8xL._SL1500_.jpg,http://pisces.bbystatic.com/image2/BestBuy_US/images/products/5689/5689019_sa.jpg,https://images-na.ssl-images-amazon.com/images/I/81EzIaCamJL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71X2tAW39aL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71c8xybNthL._SL1500_.jpg,http://static.bhphoto.com/images/smallimages/1368452917000_911749.jpg,http://static.bhphoto.com/images/images500x500/sanus_vlf410_b1_vlf410_super_slim_full_motion_1368452917000_911749.jpg,http://static.bhphoto.com/images/multiple_images/thumbnails/1368452838000_IMG_316474.jpg",,"Easily position your 37"" - 84"" flat-panel TV with this Sanus VLF410-B1 full-motion wall mount that extends up to 10-3/8"" and features fingertip tilt and a gliding system for simple adjustments. The decorative cover offers a stylish appearance.",,104.99,tv wall mount,
2,Boytone 2500W Home Theater,3.8,https://images-na.ssl-images-amazon.com/images/I/61Kics6Lb6L._SL1000_.jpg,,"Enjoy your favorite music from various sources using the Boytone 2.1 Multimedia Speakers with Bluetooth. An FM tuner picks up local broadcasts and connection ports accept MP3 files from SD cards or USB drives. Pair a compatible Bluetooth smartphone, tablet or other device for wireless streaming",,69,home theater wireless Speakers Bluetooth,
3,DENAQ - AC Adapter,3.37,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6482/6482103_sa.jpg,,"Laptop charger 90W universal Compatible for most laptops Chromebooks Ultrabook's. Plug and play, Easy to use with automatic voltage adjustment. You can power your different brand laptops with just one laptop power cord",,23.99,laptop adapter charger,
4,DreamWave Portable Bluetooth Speaker,2.74,"https://images-na.ssl-images-amazon.com/images/I/61C5Hw7FgEL._SL1000_.jpg
",,"Listen to music outdoors with this DreamWave Bluetooth speaker. It has a rugged design that holds up to rain, wind and other elements. Its Bluetooth connectivity lets you play music wirelessly, and a 50W speaker system delivers top-quality sound. Enjoy music all day with the 20-hour battery life of this DreamWave Bluetooth speaker.
",,290.99,outdoor bluetooth speaker,
5,NS-SP1800BL Home Theater,4.5,"https://static.bhphoto.com/images/images500x500/Yamaha_NS_SP1800BL_NS_SP1800BL_5_1_Channel_Home_Theater_1463664910000_567876.jpg
",,Speaker System Special Edition DJ Speaker Stand Included! Built-in Rechargeable Battery - Take Your Music Everywhere You Go! Long Lasting Rechargeable Battery - Enjoy up to 8 Hours of Playback Built-In Bluetooth with Audio Streaming USB / SD Card / Aux Inputs (USB & SD up to 32GB Compatible) Built-In FM Radio and MP3 Player Digital LCD Screen With Full Controls,,244.01,home theater,
6,Hama Universal Remote Control,2.91,"https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8381/8381044_sa.jpg
",,"For Smart TVs / Devices, the only setting required is to connect your phone as well as your Smart TV / Device to the same Wifi network.

For IR TVs, your phone must have a built-in Infrared (IR) feature for the app to work as a remote control. The IR feature is required to send signals from your phone to the TV set just like a normal TV remote.",,254.99,tv remote,
7,Acoustimass 6 Home Theater Speaker,3.75,"https://static.bhphoto.com/images/images500x500/bose_720960_1100_acoustimass_6_speaker_v_1426689365000_1123378.jpg
",,"The black Bose Acoustimass 6 Series V Home Theater Speaker System is well-suited for medium-sized rooms and can handle up to 150W per channel. This speaker system consists of 5 redesigned Virtually Invisible speakers, and an Acoustimass module for added bass impact.",,499,home theater,
8,Samsung - 850 PRO SSD,4.72,"https://images-na.ssl-images-amazon.com/images/I/51XBNfXdusL._SL1200_.jpg,",,"Enjoy professional level SSD performance with 870 EVO, which maximizes the SATA interface limit to 560/530 MB/s sequential speeds*, Accelerates write speeds and maintains long term high performance with a larger variable buffer",,249.99,ssd samsung sata,
9,Corsair Vengeance DDR4 DRAM ,4.6,https://images-na.ssl-images-amazon.com/images/I/41AGvSmY-fL.jpg,,Hand-sorted memory chips ensure high performance with generous overclocking headroom,,139.99,computer ram ddr4 dram memory chip,
10,Songlow Outdoor Bluetooth Speaker,4.82,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4703/4703107_sa.jpg,,"Outdoor Tech Buckshot Pro Speaker: Enjoy hi-fi audio on the go with this speaker's Bluetooth technology, which pairs with your compatible laptop, smartphone or tablet. A passive bass port provides a thumping low end to help get the party going.",,55.99,outdoor bluetooth speaker,
11, Motorola FOCUS66 Wi-Fi  Video Camera,3.1,https://i5.walmartimages.com/asr/0acda0e4-4794-4005-83c6-34826ea09b73_1.0b3edc2ee891d8de38a038ff9828df53.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,"If you're concerned about the mischief your furry friends are causing when you're out of the house, try the Motorola Wi-Fi Pet Video Camera. Get a peek at your pet with remote HD-quality video streaming.",,99.99,Wi-Fi Video Camera,
12,Samsung Earbuds  ,3.42,https://images-na.ssl-images-amazon.com/images/I/51QD6aytnLL._SL1000_.jpg,,"Equal parts earbud and ear bling, Galaxy Buds Live come in 4 colors you’ll want to rock all day . Active Noise Cancelling Wireless Charging",,199.99,Earbuds samsung,
